needs_revi,county,start,end,projects,UPCASE_CO
,Jones,12-2019,2-2020,GA_Central_5_2019,JONES
,Lamar,3-2016,2-2017,GA_Georgia_A1_2016,LAMAR
,Liberty,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_11_2018,LIBERTY
,Long,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_10_2018|GA_Statewide_11_2018,LONG
,Lowndes,2-2020,3-2020,GA_Central_3_2019,LOWNDES
,Lanier,1-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,LANIER
,Laurens,12-2018,3-2019,GA_Statewide_9_2018,LAURENS
,Lee,2-2020,3-2020,GA_Central_3_2019,LEE
,Lincoln,11-2018,4-2019,GA_Statewide_B7_2018,LINCOLN
,Lumpkin,3-2019,4-2019,GA_Statewide_B3_2018,LUMPKIN
,McDuffie,11-2018,1-2019,GA_Statewide_B8_2018,MCDUFFIE
,McIntosh,1-2019,4-2019,GA_Statewide_B5_2018,MCINTOSH
,Madison,12-2019,1-2020,GA_Central_1_2019,MADISON
,Miller,2-2020,3-2020,GA_Central_4_2019,MILLER
,Murray,1-2019,4-2019,GA_Statewide_B2_2018,MURRAY
,Macon,1-2021,1-2021,GA_SW_Georgia_B4_2017,MACON
,Marion,3-2016,2-2017,GA_Georgia_A1_2016,MARION
,Meriwether,3-2017,11-2017,GA_SW_Georgia_B1b_2017,MERIWETHER
,Mitchell,2-2020,3-2020,GA_Central_3_2019|GA_Central_4_2019,MITCHELL
,Monroe,12-2019,2-2020,GA_Central_5_2019,MONROE
,Montgomery,12-2018,4-2019,GA_Statewide_9_2018|GA_Statewide_11_2018,MONTGOMERY
,Morgan,12-2019,2-2020,GA_Central_5_2019,MORGAN
,Muscogee,3-2017,4-2017,GA_SW_Georgia_B1a_2017,MUSCOGEE
,Newton,12-2019,2-2020,GA_Central_5_2019,NEWTON
,Oconee,12-2019,1-2020,GA_Central_1_2019,OCONEE
,Oglethorpe,12-2019,1-2020,GA_Central_1_2019,OGLETHORPE
,Paulding,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,PAULDING
,Pierce,1-2019,4-2019,GA_Statewide_10_2018,PIERCE
,Peach,1-2021,1-2021,GA_SW_Georgia_B4_2017,PEACH
,Pickens,1-2019,4-2019,GA_Statewide_B2_2018,PICKENS
,Pike,3-2016,2-2020,GA_Georgia_A1_2016|GA_Central_5_2019,PIKE
,Polk,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,POLK
,Pulaski,1-2021,1-2021,GA_SW_Georgia_B4_2017|GA_SW_Georgia_B5_2017,PULASKI
,Putnam,12-2019,1-2020,GA_Central_1_2019,PUTNAM
,Quitman,1-2017,12-2017,GA_Unknown_1_2017_12_2017,QUITMAN
,Rabun,3-2019,4-2019,GA_Statewide_B4_2018,RABUN
,Richmond,11-2018,1-2019,GA_Statewide_B8_2018,RICHMOND
,Randolph,2-2016,3-2020,GA_Unknown_2_2016|GA_Central_3_2019,RANDOLPH
,Rockdale,3-2019,4-2019,GA_Statewide_B3_2018,ROCKDALE
,Schley,1-2020,6-2020,GA_Central_2_2019,SCHLEY
,Screven,11-2018,4-2019,GA_Statewide_B6_2018,SCREVEN
,Spalding,12-2019,2-2020,GA_Central_5_2019,SPALDING
,Stephens,12-2019,1-2020,GA_Central_1_2019,STEPHENS
,Stewart,3-2016,6-2020,GA_Unknown_3_2016|GA_Central_2_2019,STEWART
,Sumter,1-2020,6-2020,GA_Central_2_2019,SUMTER
,Seminole,2-2020,3-2020,GA_Central_4_2019,SEMINOLE
,Tattnall,11-2018,4-2019,GA_Statewide_B6_2018,TATTNALL
,Taylor,1-2017,12-2017,GA_Unknown_1_2017_12_2017,TAYLOR
,Telfair,1-2021,1-2021,GA_SW_Georgia_B5_2017,TELFAIR
,Troup,3-2017,11-2017,GA_SW_Georgia_B1b_2017,TROUP
,Twiggs,1-2021,1-2021,GA_SW_Georgia_B4_2017,TWIGGS
,Talbot,3-2016,2-2020,GA_Georgia_A1_2016,TALBOT
,Taliaferro,11-2018,4-2019,GA_Statewide_B7_2018,TALIAFERRO
,Terrell,2-2020,3-2020,GA_Central_3_2019,TERRELL
,Thomas,3-2016,3-2020,GA_Georgia_A1_2016|GA_Central_3_2019,THOMAS
,Tift,2-2020,3-2020,GA_Central_3_2019,TIFT
,Toombs,12-2018,4-2019,GA_Statewide_B6_2018|GA_Statewide_9_2018|GA_Statewide_11_2018,TOOMBS
,Towns,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,TOWNS
,Treutlen,12-2018,3-2019,GA_Statewide_9_2018,TREUTLEN
,Turner,1-2021,1-2021,GA_SW_Georgia_B4_2017,TURNER
,Union,3-2019,4-2019,GA_Statewide_B3_2018,UNION
,Upson,3-2016,2-2017,GA_Georgia_A1_2016,UPSON
,Warren,11-2018,1-2019,GA_Statewide_B8_2018,WARREN
,Washington,11-2018,3-2019,GA_Statewide_B8_2018|GA_Statewide_9_2018,WASHINGTON
,Wayne,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_10_2018|GA_Statewide_11_2018,WAYNE
,Wheeler,12-2018,4-2019,GA_Statewide_9_2018|GA_Statewide_11_2018,WHEELER
,Whitfield,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,WHITFIELD
,Wilkes,11-2018,4-2019,GA_Statewide_B7_2018,WILKES
,Wilkinson,12-2018,3-2019,GA_Statewide_9_2018,WILKINSON
,White,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,WHITE
,Wilcox,1-2021,1-2021,GA_SW_Georgia_B4_2017,WILCOX
,Worth,2-2020,3-2020,GA_Central_3_2019,WORTH
,Walker,1-2019,4-2019,GA_Statewide_B1_2018,WALKER
,Walton,12-2019,2-2020,GA_Central_5_2019,WALTON
,Ware,1-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,WARE
,Webster,1-2020,6-2020,GA_Central_2_2019,WEBSTER
