VIRGINIA,Alleghany_County,m
VIRGINIA,Amelia_County,m
VIRGINIA,Amherst_County,m
VIRGINIA,Augusta_County,m
VIRGINIA,Augusta2_County,m
VIRGINIA,Bath_County,m
VIRGINIA,Bedford_County,m
VIRGINIA,Bedford_City,m
VIRGINIA,Bland_County,m
VIRGINIA,Botetourt_County,m
VIRGINIA,Bristol_City,m
VIRGINIA,Brunswick_County,m
VIRGINIA,Buchanan_County,m
VIRGINIA,Buena_Vista_City,m
VIRGINIA,Campbell_County,m
VIRGINIA,Caroline_County,m
VIRGINIA,Carroll_County,m
VIRGINIA,Charlotte_County,m
VIRGINIA,Chesapeake_City,m
VIRGINIA,Chesterfield_County,m
VIRGINIA,Clarke_County,m
VIRGINIA,Colonial_Heights_City,m
VIRGINIA,Covington_City,m
VIRGINIA,Craig_County,m
VIRGINIA,Danville_City,m
VIRGINIA,Dickenson_County,m
VIRGINIA,Dinwiddie_County,m
VIRGINIA,Emporia_City,m
VIRGINIA,Floyd_County,m
VIRGINIA,Franklin_County,m
VIRGINIA,Frederick_County,m
VIRGINIA,Galax_City,m
VIRGINIA,Giles_County,m
VIRGINIA,Goochland_County,m
VIRGINIA,Grayson_County,m
VIRGINIA,Greensville_County,m
VIRGINIA,Halifax_County,m
VIRGINIA,Hampton_City,m
VIRGINIA,Hanover_County,m
VIRGINIA,Harrisonburg_City,m
VIRGINIA,Henrico_County,m
VIRGINIA,Henry_County,m
VIRGINIA,Highland_County,m
VIRGINIA,Hopewell_City,m
VIRGINIA,Hopewell2_City,m
VIRGINIA,King_George_County,m
VIRGINIA,Lee_County,m
VIRGINIA,Lexington_City,m
VIRGINIA,Louisa_County,m
VIRGINIA,Louisa2_County,m
VIRGINIA,Lunenburg_County,m
VIRGINIA,Lynchburg_City,m
VIRGINIA,Martinsville_City,m
VIRGINIA,Mecklenburg_County,m
VIRGINIA,Montgomery_County,m
VIRGINIA,Newport_News_City,m
VIRGINIA,Norfolk_City,m
VIRGINIA,Norton_City,m
VIRGINIA,Nottoway_County,m
VIRGINIA,Page_County,m
VIRGINIA,Patrick_County,m
VIRGINIA,Petersburg_City,m
VIRGINIA,Pittsylvania_County,m
VIRGINIA,Poquoson_City,m
VIRGINIA,Portsmouth_City,m
VIRGINIA,Prince_Edward_County,m
VIRGINIA,Prince_George_County,m
VIRGINIA,Pulaski_County,m
VIRGINIA,Radford_City,m
VIRGINIA,Richmond_City,m
VIRGINIA,Roanoke_County,m
VIRGINIA,Roanoke_City,m
VIRGINIA,Rockbridge_County,m
VIRGINIA,Rockingham_County,m
VIRGINIA,Rockingham2_County,m
VIRGINIA,Russell_County,m
VIRGINIA,Salem_City,m
VIRGINIA,Scott_County,m
VIRGINIA,Shenandoah_County,m
VIRGINIA,Shenandoah2_County,m
VIRGINIA,Smyth_County,m
VIRGINIA,Southampton_County,m
VIRGINIA,Spotsylvania_County,m
VIRGINIA,Staunton_City,m
VIRGINIA,Sussex_County,m
VIRGINIA,Tazewell_County,m
VIRGINIA,Virginia_Beach_City,m
VIRGINIA,Warren_County,m
VIRGINIA,Washington_County,m
VIRGINIA,Waynesboro_City,m
VIRGINIA,Williamsburg_City,m
VIRGINIA,Winchester_City,m
VIRGINIA,Wise_County,m
VIRGINIA,Wythe_County,m
