Zone,Projection,Zone FIPS,NAD 27 US Feet,NAD 83 Meters,NAD 83 US Feet,NAD 83 Intl Feet,NAD 83 (HARN) Meters,NAD 83 (HARN) US Feet,NAD 83 (HARN) Intl Feet,NAD 83 (CORS 96) Meters,NAD 83 (CORS 96) US Feet,NAD 83 (NSRS 2007) Meters,NAD 83 (NSRS 2007) US Feet,NAD 83 (NSRS 2007) Intl Feet,NAD 83 (2011) Meters,NAD 83 (2011) US Feet,NAD 83 (2011) Intl Feet
Montana Central,Lambert Conformal Conic,2502,32002,,,,,,,,,,,,,,
Montana South,Lambert Conformal Conic,2503,32003,,,,,,,,,,,,,,
Nebraska,Lambert Conformal Conic,2600,,32104,26852,,2819,26860,,ESRI:103474,ESRI:103475,3606,26868,,6516,6880,
Nebraska North,Lambert Conformal Conic,2601,32005,,,,,,,,,,,,,,
Nebraska South,Lambert Conformal Conic,2602,32006,,,,,,,,,,,,,,
Nevada East,Transverse Mercator,2701,32007,32107,3421,,2820,3429,,ESRI:103476,ESRI:103479,3609,3610,,6520,6521,
Nevada Central,Transverse Mercator,2702,32008,32108,3422,,2821,3430,,ESRI:103477,ESRI:103480,3607,3608,,6518,6519,
Nevada West,Transverse Mercator,2703,32009,32109,3423,,2822,3431,,ESRI:103478,ESRI:103481,3611,3612,,6522,6523,
New Hampshire,Transverse Mercator,2800,32010,32110,3437,,2823,3445,,ESRI:103482,ESRI:103483,3613,3614,,6524,6525,
New Jersey,Transverse Mercator,2900,32011,32111,3424,,2824,3432,,ESRI:103484,ESRI:103485,3615,3616,,6526,6527,
New Mexico East,Transverse Mercator,3001,32012,32112,2257,,2825,2902,,ESRI:103486,ESRI:103489,3619,3620,,6530,6531,
New Mexico Central,Transverse Mercator,3002,32013,32113,2258,,2826,2903,,ESRI:103487,ESRI:103490,3617,3618,,6528,6529,
New Mexico West,Transverse Mercator,3003,32014,32114,2259,,2827,2904,,ESRI:103488,ESRI:103491,3621,3622,,6532,6533,
New York East,Transverse Mercator,3101,32015,32115,2260,,2828,2905,,ESRI:103492,ESRI:103496,3625,3626,,6536,6537,
New York Central,Transverse Mercator,3102,32016,32116,2261,,2829,2906,,ESRI:103493,ESRI:103497,3623,3624,,6534,6535,
New York West,Transverse Mercator,3103,32017,32117,2262,,2830,2907,,ESRI:103494,ESRI:103498,3629,3630,,6540,6541,
New York Long Island,Lambert Conformal Conic,3104,4456,32118,2263,,2831,2908,,ESRI:103495,ESRI:103499,3627,3628,,6538,6539,
North Carolina,Lambert Conformal Conic,3200,32019,32119,2264,,3358,3404,,ESRI:103500,ESRI:103501,3631,3632,,6542,6543,
North Dakota North,Lambert Conformal Conic,3301,32020,32120,ESRI:102720,2265,2832,,2909,ESRI:103502,ESRI:103504,3633,,3634,6544,,6545
North Dakota South,Lambert Conformal Conic,3302,32021,32121,ESRI:102721,2266,2833,,2910,ESRI:103503,ESRI:103505,3635,,3636,6546,,6547
Ohio North,Lambert Conformal Conic,3401,32022,32122,3734,,2834,3753,,ESRI:103506,ESRI:103508,3637,3728,,6548,6549,
Ohio South,Lambert Conformal Conic,3402,32023,32123,3735,,2835,3754,,ESRI:103507,ESRI:103509,3638,3729,,6550,6551,
Oklahoma North,Lambert Conformal Conic,3501,32024,32124,2267,,2836,2911,,ESRI:103510,ESRI:103512,3639,3640,,6552,6553,
Oklahoma South,Lambert Conformal Conic,3502,32025,32125,2268,,2837,2912,,ESRI:103511,ESRI:103513,3641,3642,,6554,6555,
Oregon North,Lambert Conformal Conic,3601,32026,32126,ESRI:102726,2269,2838,,2913,6884,6885,3645,,3646,6558,,6559
Oregon South,Lambert Conformal Conic,3602,32027,32127,ESRI:102727,2270,2839,,2914,6886,6887,3647,,3648,6560,,6561
Pennsylvania North,Lambert Conformal Conic,3701,32028,32128,2271,,3362,3363,,ESRI:103514,ESRI:103515,3649,3650,,6562,6563,
Pennsylvania South,Lambert Conformal Conic,3702,32029,32129,2272,,3364,3365,,ESRI:103516,ESRI:103517,3651,3652,,6564,6565,
Rhode Island,Transverse Mercator,3800,32030,32130,3438,,2840,3446,,ESRI:103518,ESRI:103519,3653,3654,,6567,6568,
South Carolina,Lambert Conformal Conic,3900,,32133,ESRI:102733,2273,3360,,3361,ESRI:103520,ESRI:103521,3655,,3656,6569,,6570
South Carolina South,Lambert Conformal Conic,3901,32033,,,,,,,,,,,,,,
South Carolina North,Lambert Conformal Conic,3902,32031,,,,,,,,,,,,,,
South Dakota North,Lambert Conformal Conic,4001,32034,32134,4457,,2841,3458,,ESRI:103522,ESRI:103524,3657,3658,,6573,6574,
South Dakota South,Lambert Conformal Conic,4002,32035,32135,3455,,2842,3459,,ESRI:103523,ESRI:103525,3659,3660,,6571,6572,
Tennessee,Lambert Conformal Conic,4100,2204,32136,2274,,2843,2915,,ESRI:103526,ESRI:103527,3661,3662,,6575,6576,
Texas North,Lambert Conformal Conic,4201,32037,32137,2275,,2844,2916,,ESRI:103539,ESRI:103544,3667,3668,,6581,6582,
Texas North Central,Lambert Conformal Conic,4202,32038,32138,2276,,2845,2917,,ESRI:103540,ESRI:103545,3669,3670,,6583,6584,
Texas Central,Lambert Conformal Conic,4203,32039,32139,2277,,2846,2918,,ESRI:103541,ESRI:103546,3663,3664,,6577,6578,
Texas South Central,Lambert Conformal Conic,4204,32040,32140,2278,,2847,2919,,ESRI:103542,ESRI:103547,3673,3674,,6587,6588,
Texas South,Lambert Conformal Conic,4205,32041,32141,2279,,2848,2920,,ESRI:103543,ESRI:103548,3671,3672,,6585,6586,
Utah North,Lambert Conformal Conic,4301,32042,32142,3560,2280,2849,3568,2921,ESRI:103549,ESRI:103555,3678,3680,3679,6620,6626,103166
Utah Central,Lambert Conformal Conic,4302,32043,32143,3566,2281,2850,3569,2922,ESRI:103550,ESRI:103556,3675,3677,3676,6619,6625,103167
Utah South,Lambert Conformal Conic,4303,32044,32144,3567,2282,2851,3570,2923,ESRI:103551,ESRI:103557,3681,3683,3682,6621,6627,103168
Vermont,Transverse Mercator,4400,32045,32145,5646,,2852,5654,,ESRI:103558,,3684,5655,,6589,6590,
Virginia North,Lambert Conformal Conic,4501,32046,32146,2283,,2853,2924,,ESRI:103559,ESRI:103561,3685,3686,,6592,6593,
